Station ID,Station Name,Description,County,Route,From Milepoint,To Milepoint,Functional Class,Latitude,Longitude,Year,Stat Type,AADT,AAWDT,Single-Unit Truck AADT,Combo-Unit Truck AADT,K-Factor,D-Factor,Station Type
#355013000000,355013,CR129 CR 129 from NY 96A to OVID TN LN,Seneca,CR 129,0,0.98,Rural:Minor Collector,42.72058,-76.79038,2024,Actual,595,,,,0.11,0.62,Short Term
#355014000000,355014,CR129 CR 129 from OVID TN LN to ROMULUS TL RT96,Seneca,CR 129,0.98,4.6,Rural:Minor Collector,42.63974,-76.78592,2024,Actual,668,,,,0.12,0.54,Short Term
#355015000000,355015,CR129 CR 129 from ROMULUS TL RT96 to VARICK TN LN,Seneca,CR 129,4.6,9.51,Rural:Minor Collector,42.71682,-76.78992,2024,Actual,605,,,,0.11,0.56,Short Term
#355016000000,355016,CR129 CR 129 from VARICK TN LN to NY 414,Seneca,CR 129,9.51,10.76,Rural:Minor Collector,42.75218,-76.80476,2024,Actual,428,,,,0.1,0.59,Short Term
#355017000000,355017,CR130 CR 130 from NY 96 to CR 129,Seneca,CR 130,0,1.57,Rural:Local,42.6954,-76.80392,2024,Estimated,264,,,,0.09,0.59,Short Term
#356001000000,356001,ARDEN RD from NY 96 to W SENECA RD,Seneca,ARDEN RD,0,3.55,Rural:Local,42.58598,-76.70365,2024,Estimated,36,,,,0.14,0.67,Short Term
#356002000000,356002,FRONTENAC RD from NY 89 to END,Seneca,FRONTENAC RD,0.44,1.53,Rural:Local,42.558446,-76.627257,2024,Estimated,43,,,,0.27,0.58,Short Term
#356003000000,356003,ALLEN ROAD from POST RD to CR 121,Seneca,ALLEN ROAD,0,0.8,Rural:Local,42.83465,-76.8938,2024,Actual,23,,,,0.22,0.6,Short Term
#356004000000,356004,DEAN RD from CR137 to KEADY RD,Seneca,DEAN RD,0,0.99,Rural:Local,42.58579,-76.80971,2024,Estimated,32,,,,0.14,0.6,Short Term
#356005000000,356005,UPPER LAKE RD from NY414 to CR136,Seneca,UPPER LAKE RD,0,1.83,Rural:Local,42.612173,-76.848656,2024,Estimated,381,,,,0.1,0.54,Short Term
#356006000000,356006,LOWER LAKE RD from PORTER COVERT RD to SHAW RD,Seneca,LOWER LAKE RD,0,2.02,Rural:Local,42.614718,-76.87521,2024,Estimated,160,,,,0.09,0.53,Short Term
#356007000000,356007,HIGHLAND RD from DEAD END to CR 131,Seneca,HIGHLAND RD,0,1,Rural:Local,42.635672,-76.845909,2024,,,,,,,,Short Term
#356008000000,356008,POTTER RD from NY 96 to CR 139,Seneca,POTTER RD,0.25,1.67,Rural:Local,42.65444,-76.72479,2024,Estimated,76,,,,0.09,0.56,Short Term
#356009000000,356009,WEYERS POINT RD from NY 89 to CR 153,Seneca,WEYERS POINT RD,0,2.59,Rural:Local,42.67982,-76.72258,2024,Estimated,97,,,,0.1,0.62,Short Term
#356011000000,356011,HALL RD from COVERT TL to CENTER RD,Seneca,HALL RD,0,2.9,Rural:Local,42.6627,-76.74749,2024,Estimated,27,,,,0.13,0.5,Short Term
#356012000000,356012,MUNSON RD from CR 129 to NY 96,Seneca,MUNSON RD,0,2.99,Rural:Local,42.635436,-76.767255,2024,Estimated,128,,,,0.11,0.57,Short Term
#356013000000,356013,MARSHALL ROAD from CR 119 to CR 120,Seneca,MARSHALL ROAD,0,2.36,Rural:Local,42.87029,-76.92873,2024,Estimated,459,,,,0.09,0.64,Short Term
#356014000000,356014,CR114 BREWER RD from US 20 to NY 96,Seneca,BREWER RD,0,1.97,Rural:Minor Collector,42.91933,-76.90393,2024,Actual,2019,,166,6,0.08,0.57,Short Term
#356015000000,356015,CR143 CR 143 from COVERT TN LN to NY 96,Seneca,CR 143,1.01,5.02,Rural:Minor Collector,42.5603,-76.70893,2024,Estimated,404,,,,0.09,0.63,Short Term
#356016000000,356016,CR142 CR 142 from CR 143 to NY 96,Seneca,CR 142,0,3.26,Rural:Local,42.57254,-76.72246,2024,Estimated,340,,,,0.09,0.55,Short Term
#356017000000,356017,CR153 CR 153 from CR 141 to CR 139,Seneca,CR 153,0,2.18,Rural:Local,42.66464,-76.701337,2024,Estimated,291,,,,0.11,0.51,Short Term
#356018000000,356018,CR137 LODI CENTER RD from NY 414 to VILLAGE LINE,Seneca,LODI CENTER RD,0,6.16,Rural:Local,42.599326,-76.823632,2024,Estimated,297,,,,0.09,0.59,Short Term
#356019000000,356019,CR132 CR 132 from EAST LAKE RD to OVID TL WLRD RD,Seneca,CR 132,0,1.66,Rural:Local,42.68411,-76.88263,2024,Estimated,83,,,,0.15,0.62,Short Term
#356020000000,356020,CR131 UPPER LAKE RD from W WYCOFF RD to GILBERT RD,Seneca,UPPER LAKE RD,1.72,3.75,Rural:Local,42.64703,-76.84611,2024,Estimated,576,,,,0.1,0.72,Short Term
#356021000000,356021,CR125 EAST LAKE RD from ROMULUS TN LN to FAYETTE TN LN,Seneca,EAST LAKE RD,1.33,5.19,Rural:Local,42.78624,-76.92819,2024,Estimated,669,,36,1,0.11,0.56,Short Term
#356022000000,356022,CR119 W RIVER RD from MARSHALL RD to VILLAGE LINE,Seneca,W RIVER RD,0.8,4.64,Rural:Minor Collector,42.88883,-76.90407,2024,Actual,1994,,78,3,0.12,0.56,Short Term
#356023000000,356023,CR120 YELLOW TAVERN R from NY 96A to MILLER RD,Seneca,YELLOW TAVERN R,0,1.93,Rural:Minor Collector,42.84925,-76.89169,2024,Estimated,687,,,,0.09,0.61,Short Term
#356024000000,356024,CR101 GRAVEL RD from E TYRE RD to LAMB RD,Seneca,GRAVEL RD,4.64,4.9,Rural:Local,42.99184,-76.8034,2024,Actual,303,,,,0.12,0.62,Short Term
